NM_MUN,bacia,populacao,domestico_t_ano,reciclavel_t_ano,risco
Imaruí,Outras Bacias,11881.0,4119.736749999999,411.97367499999996,BAIXO
Imbituba,Outras Bacias,52579.0,18231.76825,1823.1768250000002,BAIXO
Imbuia,Outras Bacias,5982.0,2074.2585,207.42585,BAIXO
Indaial,Outras Bacias,71549.0,24809.61575,2480.9615750000003,BAIXO
Iomerê,Outras Bacias,2877.0,997.59975,99.759975,BAIXO
Ipira,Outras Bacias,4578.0,1587.4214999999997,158.74214999999998,BAIXO
Iporã do Oeste,Outras Bacias,9335.0,3236.91125,323.69112500000006,BAIXO
Ipuaçu,Outras Bacias,7730.0,2680.3775,268.03775,BAIXO
Ipumirim,Outras Bacias,7816.0,2710.198,271.0198,BAIXO
Iraceminha,Outras Bacias,3986.0,1382.1455,138.21455,BAIXO
Irani,Outras Bacias,10195.0,3535.11625,353.51162500000004,BAIXO
Irati,Outras Bacias,2069.0,717.42575,71.742575,BAIXO
Irineópolis,Outras Bacias,10285.0,3566.32375,356.632375,BAIXO
Itá,Outras Bacias,7067.0,2450.48225,245.048225,BAIXO
Itaiópolis,Outras Bacias,22051.0,7646.18425,764.6184250000001,BAIXO
Itajaí,Bacia do Itajaí,264054.0,91560.7245,9156.07245,MÉDIO
Itapema,Outras Bacias,75940.0,26332.195,2633.2195,BAIXO
Itapiranga,Outras Bacias,16638.0,5769.226499999999,576.9226499999999,BAIXO
Itapoá,Outras Bacias,30750.0,10662.5625,1066.2562500000001,BAIXO
Ituporanga,Outras Bacias,26525.0,9197.54375,919.7543750000001,BAIXO
Jaborá,Outras Bacias,4310.0,1494.4925,149.44925,BAIXO
Jacinto Machado,Outras Bacias,10624.0,3683.8719999999994,368.38719999999995,BAIXO
Jaguaruna,Outras Bacias,20375.0,7065.03125,706.5031250000001,BAIXO
Jaraguá do Sul,Outras Bacias,182660.0,63337.355,6333.735500000001,MÉDIO
Jardinópolis,Outras Bacias,1776.0,615.8279999999999,61.58279999999999,BAIXO
Joaçaba,Bacia do Uruguai,30146.0,10453.125499999998,1045.3125499999999,BAIXO
Joinville,Bacia Litorânea Norte,616317.0,213707.91975,21370.791975,CRÍTICO
José Boiteux,Outras Bacias,5985.0,2075.29875,207.529875,BAIXO
Jupiá,Outras Bacias,2555.0,885.94625,88.59462500000001,BAIXO
Lacerdópolis,Outras Bacias,2248.0,779.494,77.94940000000001,BAIXO
Lages,Bacia do Canoas,164981.0,57207.16174999999,5720.716175,MÉDIO
Laguna,Outras Bacias,42785.0,14835.69875,1483.5698750000001,BAIXO
Lajeado Grande,Outras Bacias,1702.0,590.1685,59.016850000000005,BAIXO
Laurentino,Outras Bacias,7932.0,2750.421,275.0421,BAIXO
Lauro Müller,Outras Bacias,14381.0,4986.61175,498.661175,BAIXO
Lebon Régis,Outras Bacias,11472.0,3977.916,397.7916,BAIXO
Leoberto Leal,Outras Bacias,3330.0,1154.6775,115.46775000000001,BAIXO
Lindóia do Sul,Outras Bacias,4549.0,1577.36575,157.73657500000002,BAIXO
Lontras,Outras Bacias,12873.0,4463.712749999999,446.3712749999999,BAIXO
Luiz Alves,Outras Bacias,11684.0,4051.4269999999997,405.1427,BAIXO
Luzerna,Outras Bacias,5794.0,2009.0695,200.90695000000002,BAIXO
Macieira,Outras Bacias,1778.0,616.5215,61.65215,BAIXO
Mafra,Outras Bacias,55286.0,19170.4205,1917.04205,BAIXO
Major Gercino,Outras Bacias,3214.0,1114.4545,111.44545000000001,BAIXO
Major Vieira,Outras Bacias,7425.0,2574.61875,257.461875,BAIXO
Maracajá,Outras Bacias,7815.0,2709.85125,270.98512500000004,BAIXO
Maravilha,Outras Bacias,28251.0,9796.034249999999,979.6034249999999,BAIXO
